title,genre,release_year,rating,revenue_million
Crossing the Galaxy,Sci-Fi,2019,8.1,120
Red Sunset,Drama,2021,7.5,80
The Last Winter,Drama,2018,6.9,45
City at Night,Thriller,2022,8.4,150
Blue Wave,Romance,2020,7.2,60
Golden Street,Comedy,2017,6.5,30
Door of Time,Sci-Fi,2023,8.8,200
Falling Stars,Drama,2016,7.0,40
City Lights,Thriller,2021,7.9,95
Vanished Memory,Mystery,2019,8.2,110
Song of the Wind,Romance,2020,6.8,55
Moonlit Voyage,Sci-Fi,2022,8.0,130
Red Thread,Drama,2018,7.3,50
Silent Forest,Drama,2023,6.6,25
Fireworks Night,Comedy,2017,7.1,35
