name,sport,country,medals,age
Sarah Kim,Swimming,South Korea,3,24
Mike Johnson,Track & Field,USA,2,28
Emily Park,Gymnastics,South Korea,1,19
Daniel Lee,Archery,South Korea,4,31
Rachel Cho,Judo,Japan,2,26
Kevin Wang,Table Tennis,China,1,22
Olivia Han,Badminton,South Korea,3,25
Brian Cooper,Shooting,USA,0,29
Sophie Martin,Fencing,France,1,27
Tyler Yoon,Taekwondo,South Korea,2,23
Carlos Diaz,Boxing,Cuba,0,30
Ivan Petrov,Wrestling,Russia,1,26
Jason Kang,Modern Pentathlon,South Korea,0,21
Michelle Roy,Canoeing,Canada,2,28
Andrew Hughes,Cycling,Australia,1,24
