title,author,genre,pages,year,rating
First Steps in Python,Mark Wilson,Programming,220,2019,4.3
A Walk Through Algorithms,Karen Lee,Programming,310,2021,4.6
Understanding Data,Steven Clark,Data,180,2018,3.9
Intro to Machine Learning,Laura Kim,Data,260,2022,4.5
Clean Code Practices,Brian Chen,Programming,340,2017,4.8
Refactoring Basics,Nancy Park,Programming,290,2020,4.4
Intro to Networking,Kevin Wright,Networking,250,2016,3.7
Principles of Operating Systems,Diane Scott,Operating Systems,410,2015,4.1
Data Structures Together,Paul Nguyen,Programming,300,2019,4.2
Web Development Basics,Susan Reed,Web,195,2021,3.8
History of AI,Tom Baker,AI,230,2020,4.0
Intro to Statistics,Julia Adams,Math,275,2018,4.3
Linear Algebra Lectures,Frank Torres,Math,320,2017,4.5
The World of Probability,Alice Morgan,Math,205,2022,3.9
Deep Learning in Practice,George Bennett,AI,380,2023,4.7
