product_id,product_name,category,price,stock,rating
101,Item_1,Electronics,1200,12,4.5
102,Item_2,Clothing,45,50,3.8
103,Item_3,Electronics,89,30,4.2
104,Item_4,Grocery,15,100,4.0
105,Item_5,Furniture,320,5,4.7
106,Item_6,Electronics,55,40,3.5
107,Item_7,Clothing,32,60,4.1
108,Item_8,Grocery,8,200,3.9
109,Item_9,Furniture,210,8,4.6
110,Item_10,Electronics,999,3,4.9
111,Item_11,Clothing,27,45,3.7
112,Item_12,Grocery,12,150,4.3
113,Item_13,Electronics,150,20,4.0
114,Item_14,Furniture,450,6,4.8
115,Item_15,Clothing,39,55,3.6
116,Item_16,Grocery,6,300,4.4
117,Item_17,Electronics,72,25,4.2
118,Item_18,Furniture,180,10,4.5
119,Item_19,Clothing,58,38,3.9
120,Item_20,Electronics,25,70,4.1
